pair,word_x,word_y,scores,qtype
planet-astronomer,planet,astronomer,"[2.0, 7.0, 8.0, 7.0, 5.9, 2.0, 8.0, 8.0, 6.0, 9.0, 6.0, 9.8, 7.5, 6.0, 5.0, 9.0, 6.0, 4.0, 4.0, 5.0, 5.0, 6.0, 8.0, 3.0, 5.0, 8.0, 8.0, 4.0, 5.0, 10.0, 3.0, 8.0, 8.0, 0.0, 1.0, 5.0, 8.0, 5.0, 9.0, 4.0, 6.0, 8.0, 10.0, 5.0, 8.0, 2.0, 6.5, 2.0, 8.5, 6.0]",sim
movie-star,movie,star,"[3.0, 7.0, 6.0, 7.0, 6.0, 1.0, 8.0, 0.0, 6.0, 5.0, 2.0, 7.6, 3.0, 3.0, 7.0, 9.0, 7.0, 3.0, 2.0, 4.0, 4.0, 6.0, 8.0, 4.0, 5.0, 7.0, 8.5, 3.0, 7.0, 7.0, 3.0, 7.0, 7.0, 0.0, 0.0, 4.0, 7.0, 8.0, 7.0, 1.0, 4.0, 8.0, 9.0, 5.0, 2.0, 5.0, 5.0, 1.0, 6.0, 5.0]",sim
movie-popcorn,movie,popcorn,"[3.0, 6.0, 4.0, 5.0, 9.0, 4.0, 6.0, 7.0, 5.0, 7.0, 3.0, 9.0, 5.5, 9.0, 7.0, 4.0, 8.0, 2.0, 2.0, 8.0, 5.0, 7.0, 8.0, 3.0, 4.0, 7.0, 7.0, 4.0, 6.0, 10.0, 3.0, 3.0, 7.0, 0.0, 0.0, 6.0, 8.0, 3.0, 7.0, 5.0, 2.0, 8.0, 9.0, 6.0, 5.0, 3.0, 1.5, 2.0, 6.5, 6.0]",sim
movie-critic,movie,critic,"[3.0, 5.0, 40.0, 6.0, 6.8, 0.0, 4.0, 7.0, 7.0, 6.0, 3.0, 0.0, 4.5, 4.0, 6.0, 7.0, 6.0, 1.0, 0.0, 7.0, 3.0, 6.0, 6.0, 3.0, 5.0, 7.0, 5.0, 4.0, 6.0, 6.0, 3.0, 2.0, 6.0, 0.0, 0.0, 4.0, 6.0, 1.0, 6.0, 1.0, 7.0, 7.5, 7.0, 4.0, 3.0, 2.0, 3.0, 6.0, 7.0, 4.0]",sim
monk-oracle,monk,oracle,"[8.0, 8.0, 2.5, 6.0, 3.4, 5.0, 5.0, 8.0, 5.0, 5.0, 8.0, 0.0, 8.0, 1.0, 6.0, 7.0, 6.0, 5.0, 2.0, 4.0, 6.0, 4.0, 2.0, 4.0, 5.0, 9.0, 4.0, 8.0, 5.0, 5.0, 2.0, 3.0, 6.0, 0.0, 4.0, 4.0, 5.0, 4.0, 3.0, 1.0, 5.0, 6.0, 8.0, 4.0, 9.0, 4.0, 5.0, 0.0, 6.0, 8.0]",sim
money-laundering,money,laundering,"[3.0, 8.0, 4.8, 3.0, 4.7, 2.0, 7.0, 4.0, 5.0, 7.0, 4.0, 0.0, 3.5, 2.0, 1.0, 4.0, 7.0, 5.0, 2.0, 4.0, 4.0, 6.0, 7.0, 2.0, 0.0, 7.0, 8.0, 8.0, 7.0, 6.0, 2.0, 7.0, 3.0, 0.0, 1.0, 2.0, 7.0, 4.0, 6.5, 3.0, 5.0, 8.5, 9.0, 3.0, 7.0, 5.0, 3.5, 0.0, 4.0, 3.0]",sim
money-cash,money,cash,"[8.0, 9.0, 3.0, 8.0, 10.0, 9.0, 8.0, 10.0, 10.0, 10.0, 9.0, 10.0, 9.5, 10.0, 9.0, 10.0, 5.0, 8.0, 7.0, 5.0, 8.0, 9.0, 9.5, 10.0, 10.0, 10.0, 9.5, 3.0, 9.5, 10.0, 10.0, 8.0, 10.0, 10.0, 9.0, 10.0, 9.0, 6.0, 9.5, 9.0, 6.0, 9.5, 10.0, 8.0, 4.0, 10.0, 9.0, 8.0, 8.5, 9.0]",sim
money-bank,money,bank,"[4.0, 8.0, 3.0, 7.0, 10.0, 6.0, 9.0, 9.0, 7.0, 8.0, 8.0, 9.9, 5.5, 6.0, 2.0, 7.0, 7.0, 5.0, 6.0, 5.0, 4.0, 7.0, 8.0, 4.0, 5.0, 10.0, 8.0, 3.0, 6.0, 10.0, 5.0, 6.0, 7.0, 0.0, 2.0, 6.0, 9.0, 5.0, 8.5, 4.0, 6.0, 9.0, 10.0, 7.0, 5.0, 7.0, 8.0, 8.0, 8.0, 6.0]",sim
luxury-car,luxury,car,"[3.0, 6.0, 6.0, 6.0, 7.5, 6.0, 7.0, 7.9, 6.0, 5.0, 7.0, 5.6, 4.0, 4.0, 2.0, 7.0, 6.0, 2.0, 3.0, 8.0, 2.0, 7.0, 6.0, 6.0, 1.0, 5.0, 7.5, 4.0, 5.0, 6.0, 2.0, 4.0, 4.0, 0.0, 2.0, 5.0, 5.0, 5.0, 8.5, 2.0, 4.0, 7.0, 9.0, 3.0, 3.0, 4.0, 6.5, 8.5, 5.0, 4.0]",sim
lover-quarrel,lover,quarrel,"[9.0, 2.0, 5.9, 4.0, 6.5, 0.0, 3.0, 4.0, 7.0, 2.0, 3.0, 0.0, 2.5, 6.0, 0.0, 3.0, 7.0, 1.0, 0.0, 4.0, 3.0, 4.0, 3.0, 2.0, 0.0, 4.0, 6.5, 5.0, 8.0, 4.0, 3.0, 4.0, 4.0, 0.0, 0.0, 3.0, 2.0, 3.0, 5.0, 2.0, 5.0, 4.0, 9.0, 2.0, 5.0, 3.0, 2.0, 0.0, 4.5, 4.0]",sim
love-sex,love,sex,"[7.0, 7.0, 3.2, 6.0, 3.5, 5.0, 8.0, 9.0, 5.0, 5.0, 7.0, 10.0, 7.0, 9.0, 8.0, 10.0, 7.0, 6.0, 4.0, 5.0, 7.0, 7.0, 8.0, 7.0, 7.0, 8.0, 9.0, 8.0, 9.0, 7.0, 5.0, 8.0, 7.0, 0.0, 5.0, 7.0, 7.0, 5.0, 7.5, 7.0, 4.0, 8.0, 9.0, 7.0, 2.0, 6.0, 7.0, 6.5, 6.0, 8.0]",sim
gem-jewel,gem,jewel,"[9.0, 10.0, 2.5, 8.0, 10.0, 8.0, 9.0, 9.5, 7.0, 9.0, 9.0, 9.2, 8.0, 5.0, 9.0, 9.0, 7.0, 8.0, 9.0, 4.0, 8.0, 7.0, 9.0, 10.0, 10.0, 6.0, 8.5, 1.0, 9.5, 10.0, 9.0, 9.0, 9.0, 10.0, 9.0, 8.0, 8.0, 7.0, 9.5, 8.0, 8.0, 8.0, 10.0, 8.0, 6.0, 10.0, 8.5, 8.5, 10.0, 8.0]",sim
game-team,game,team,"[6.0, 7.0, 3.0, 7.0, 7.7, 2.0, 7.0, 6.0, 5.0, 7.0, 4.0, 9.9, 7.0, 5.0, 5.0, 8.0, 7.0, 5.0, 6.0, 6.0, 4.0, 5.0, 6.0, 5.0, 5.0, 7.0, 8.0, 4.0, 4.0, 7.0, 3.0, 6.0, 8.0, 0.0, 1.0, 1.0, 8.0, 6.0, 7.5, 2.0, 4.0, 7.5, 7.0, 4.0, 8.0, 6.0, 8.5, 4.5, 7.0, 6.0]",sim
game-round,game,round,"[5.0, 5.0, 4.0, 6.0, 9.5, 0.0, 6.0, 9.0, 6.0, 6.0, 6.0, 8.2, 6.5, 6.0, 0.0, 9.0, 2.0, 1.0, 3.0, 6.0, 5.0, 7.0, 6.0, 6.0, 5.0, 6.0, 9.5, 4.0, 5.0, 5.0, 4.0, 3.0, 6.0, 0.0, 8.0, 5.0, 8.0, 4.0, 1.5, 5.0, 5.0, 7.5, 4.0, 1.0, 3.0, 5.0, 6.5, 3.0, 2.0, 3.0]",sim
game-defeat,game,defeat,"[4.0, 6.0, 4.0, 6.0, 4.0, 0.0, 4.0, 8.0, 5.0, 5.0, 5.0, 5.1, 6.5, 3.0, 2.0, 8.0, 3.0, 3.0, 4.0, 4.0, 4.0, 6.0, 6.0, 5.0, 0.0, 5.0, 8.0, 4.0, 4.0, 7.0, 1.0, 7.0, 2.0, 0.0, 6.0, 1.0, 7.0, 2.0, 5.0, 1.0, 7.0, 4.0, 4.0, 3.0, 4.0, 1.0, 6.0, 6.0, 7.0, 5.0]",sim
food-preparation,food,preparation,"[2.0, 5.0, 3.8, 5.0, 8.0, 0.0, 4.0, 5.0, 5.0, 8.0, 6.0, 9.5, 6.0, 9.0, 1.0, 8.0, 5.0, 3.0, 3.0, 4.0, 4.0, 6.0, 6.0, 3.0, 0.0, 4.0, 7.0, 5.0, 3.0, 7.0, 0.0, 4.0, 3.0, 0.0, 3.0, 2.0, 6.0, 7.0, 6.0, 5.0, 4.0, 6.5, 9.0, 2.0, 3.0, 2.0, 6.0, 5.0, 5.5, 8.0]",sim
food-fruit,food,fruit,"[7.0, 9.0, 3.2, 6.0, 8.9, 8.0, 8.0, 9.2, 6.0, 7.0, 9.0, 9.3, 7.5, 6.0, 2.0, 8.0, 2.0, 7.0, 6.0, 4.0, 6.0, 7.0, 9.0, 4.0, 7.0, 10.0, 9.0, 4.0, 9.0, 9.0, 8.0, 6.0, 9.0, 0.0, 1.0, 8.0, 8.0, 6.0, 9.5, 5.0, 4.0, 7.5, 9.0, 9.0, 6.0, 7.0, 8.5, 8.5, 8.0, 7.0]",sim
family-planning,family,planning,"[1.0, 5.0, 9.5, 3.0, 8.9, 0.0, 3.0, 5.0, 6.0, 4.0, 3.0, 10.0, 4.5, 6.0, 1.0, 8.0, 4.0, 2.0, 1.0, 8.0, 5.0, 6.0, 7.0, 7.0, 0.0, 7.0, 6.0, 5.0, 6.0, 7.0, 2.0, 4.0, 5.0, 0.0, 2.0, 1.0, 7.0, 6.0, 8.5, 1.0, 2.0, 7.0, 7.0, 3.0, 4.0, 4.0, 6.0, 5.0, 7.0, 4.0]",sim
drink-ear,drink,ear,"[0.0, 0.0, 4.0, 3.0, 0.2, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 1.0, 2.0, 1.0, 0.0, 5.0, 1.0, 3.0, 0.0, 1.0, 0.0, 4.0, 3.0, 10.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 5.0, 0.0, 0.0, 6.0, 0.0, 1.0, 1.0, 4.0, 1.0, 0.0, 0.0, 0.0, 1.0]",sim
dollar-yen,dollar,yen,"[8.0, 10.0, 6.0, 7.0, 9.0, 9.0, 9.0, 9.0, 7.0, 8.0, 8.0, 8.3, 8.0, 5.0, 4.0, 9.0, 7.0, 8.0, 8.0, 5.0, 6.0, 6.0, 9.8, 9.0, 9.0, 8.0, 9.0, 1.0, 7.0, 9.0, 9.0, 7.0, 1.0, 10.0, 7.0, 6.0, 8.0, 8.0, 9.5, 9.0, 4.0, 8.0, 9.0, 5.0, 7.0, 10.0, 6.0, 4.5, 9.0, 8.0]",sim
dollar-profit,dollar,profit,"[4.0, 8.0, 8.0, 8.0, 5.0, 5.0, 4.0, 5.0, 4.0, 9.0, 5.0, 9.5, 6.0, 8.0, 8.0, 7.0, 8.0, 6.0, 4.0, 8.0, 7.0, 7.0, 9.0, 9.0, 2.0, 8.0, 7.0, 2.0, 7.0, 10.0, 6.0, 5.0, 8.0, 1.0, 7.0, 9.0, 9.0, 7.0, 8.0, 9.0, 4.0, 6.0, 9.0, 6.0, 4.0, 7.0, 5.0, 3.0, 5.0, 4.0]",sim
doctor-nurse,doctor,nurse,"[8.0, 9.0, 7.0, 8.5, 5.0, 8.0, 10.0, 7.0, 7.0, 6.0, 10.0, 7.5, 5.0, 6.0, 9.0, 6.0, 8.0, 8.0, 6.0, 7.0, 7.0, 8.8, 4.0, 8.0, 8.0, 8.5, 4.0, 8.5, 8.0, 9.0, 7.0, 6.0, 0.0, 3.0, 7.0, 8.0, 7.0, 8.0, 8.0, 5.0, 8.5, 10.0, 7.0, 1.0, 8.0, 8.0, 3.5, 8.0, 8.0]",sim
deployment-departure,deployment,departure,"[8.0, 0.0, 3.0, 6.0, 8.4, 0.0, 8.0, 5.0, 4.0, 7.0, 0.0, 0.0, 6.0, 41.0, 9.0, 10.0, 4.0, 7.0, 2.0, 6.0, 8.0, 6.0, 8.0, 5.0, 3.0, 8.0, 7.0, 5.0, 6.0, 9.0, 8.0, 6.0, 9.0, 10.0, 8.0, 0.0, 6.0, 6.0, 8.5, 4.0, 4.0, 5.0, 8.0, 7.0, 8.0, 5.0, 8.0, 3.5, 8.0, 8.0]",sim
delay-racism,delay,racism,"[4.0, 1.0, 1.2, 2.0, 0.0, 0.0, 1.0, 0.0, 4.0, 0.0, 0.0, 0.0, 1.0, 3.0, 0.0, 2.0, 6.0, 1.0, 0.0, 5.0, 1.0, 2.0, 0.0, 1.0, 0.0, 1.0, 4.0, 10.0, 0.0, 1.0, 0.0, 2.0, 1.0, 0.0, 1.0, 0.0, 2.0, 4.0, 1.0, 0.0, 6.0, 0.0, 1.0, 1.0, 8.0, 1.0, 0.0, 0.0, 2.0, 1.0]",sim
delay-news,delay,news,"[2.0, 1.0, 8.0, 3.0, 0.6, 0.0, 2.0, 0.0, 4.0, 4.0, 3.0, 5.1, 3.0, 1.0, 0.0, 7.0, 3.0, 1.0, 0.0, 4.0, 1.0, 6.0, 0.0, 2.0, 0.0, 5.0, 7.0, 10.0, 1.0, 2.0, 0.0, 1.0, 1.0, 0.0, 2.0, 0.0, 5.0, 7.0, 1.5, 0.0, 6.0, 4.0, 1.0, 1.0, 9.0, 2.0, 4.0, 1.5, 4.0, 3.0]",sim
cup-object,cup,object,"[6.0, 5.0, 10.0, 3.0, 10.0, 3.0, 2.0, 10.0, 7.0, 10.0, 8.0, 7.8, 5.0, 4.0, 0.0, 8.0, 6.0, 7.0, 3.0, 4.0, 4.0, 7.0, 5.0, 7.0, 3.0, 5.0, 4.0, 4.0, 6.0, 4.0, 10.0, 2.0, 8.0, 0.0, 1.0, 2.0, 6.0, 5.0, 7.0, 5.0, 5.0, 6.0, 7.0, 5.0, 3.0, 1.0, 7.0, 6.0, 7.0, 2.0]",sim
cup-drink,cup,drink,"[3.0, 9.0, 4.0, 6.0, 7.0, 3.0, 8.0, 9.0, 4.0, 6.0, 8.0, 9.5, 5.0, 9.0, 5.0, 7.0, 7.0, 4.0, 6.0, 8.0, 4.0, 6.0, 7.0, 2.0, 5.0, 9.0, 7.5, 3.0, 6.0, 10.0, 3.0, 2.0, 9.0, 0.0, 1.0, 6.0, 9.0, 5.0, 8.5, 4.0, 5.0, 7.0, 9.0, 7.0, 9.0, 3.0, 8.0, 0.0, 7.5, 6.0]",sim
coast-shore,coast,shore,"[9.0, 10.0, 1.0, 7.0, 9.6, 9.0, 9.0, 9.0, 8.0, 9.0, 9.0, 0.0, 9.0, 4.0, 6.0, 10.0, 7.0, 9.0, 7.0, 5.0, 8.0, 7.0, 9.5, 10.0, 10.0, 9.0, 9.5, 0.0, 9.2, 10.0, 8.0, 4.0, 10.0, 0.0, 9.0, 4.0, 8.0, 9.0, 9.5, 9.0, 9.0, 6.5, 8.0, 8.0, 7.0, 4.0, 10.0, 7.8, 10.0, 9.0]",sim
century-nation,century,nation,"[1.0, 0.0, 8.0, 5.0, 3.7, 0.0, 2.0, 0.0, 5.0, 0.0, 1.0, 3.2, 1.0, 4.0, 0.0, 2.0, 4.0, 1.0, 0.0, 5.0, 3.0, 4.0, 0.0, 2.0, 0.0, 2.0, 4.0, 9.0, 2.0, 1.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 7.0, 7.0, 1.0, 1.0, 8.0, 0.0, 1.0, 2.0, 1.0, 1.0, 1.0, 3.0, 1.0, 4.0]",sim
cemetery-woodland,cemetery,woodland,"[3.0, 2.0, 9.0, 4.0, 2.3, 0.0, 3.0, 0.0, 4.0, 0.0, 4.0, 0.0, 1.0, 4.0, 0.0, 6.0, 3.0, 5.0, 1.0, 5.0, 2.0, 6.0, 1.0, 2.0, 1.0, 3.0, 7.5, 10.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 2.0, 0.0, 2.0, 5.0, 4.0, 1.0, 5.0, 0.5, 2.0, 2.0, 3.0, 1.0, 6.0, 0.0, 2.0, 6.0]",sim
bread-butter,bread,butter,"[4.0, 4.0, 5.0, 6.4, 7.5, 2.0, 6.0, 7.0, 4.0, 5.0, 4.0, 10.0, 6.0, 1.0, 1.0, 5.0, 6.0, 5.0, 2.0, 5.0, 4.0, 7.0, 7.0, 3.0, 3.0, 7.0, 6.0, 3.0, 8.0, 8.0, 2.0, 3.0, 6.0, 0.0, 2.0, 0.0, 7.0, 6.0, 6.0, 7.0, 2.0, 8.0, 9.0, 2.0, 5.0, 3.0, 3.0, 0.0, 7.0, 3.0]",sim
bed-closet,bed,closet,"[0.0, 4.0, 5.0, 5.0, 4.2, 0.0, 4.0, 7.0, 3.0, 6.0, 3.0, 0.0, 5.0, 2.0, 1.0, 5.0, 3.0, 3.0, 4.0, 2.0, 4.0, 4.0, 4.0, 2.0, 1.0, 4.0, 7.5, 10.0, 3.0, 5.0, 0.0, 5.0, 1.0, 0.0, 2.0, 1.0, 6.0, 4.0, 2.5, 0.0, 4.0, 3.0, 8.0, 2.0, 9.0, 1.0, 3.0, 3.8, 6.0, 4.0]",sim
baby-mother,baby,mother,"[5.0, 6.0, 3.0, 6.0, 8.7, 0.0, 6.0, 9.0, 3.0, 5.0, 1.0, 9.9, 6.5, 1.0, 0.0, 5.0, 4.0, 7.0, 2.0, 5.0, 5.0, 6.0, 9.0, 3.0, 1.0, 7.0, 8.0, 4.0, 9.0, 7.0, 4.0, 2.0, 3.0, 0.0, 2.0, 7.0, 8.0, 4.0, 8.5, 5.0, 4.0, 8.5, 10.0, 3.0, 6.0, 1.0, 3.0, 4.0, 8.5, 5.0]",sim
arrival-hotel,arrival,hotel,"[1.0, 4.0, 3.5, 4.0, 7.0, 2.0, 4.0, 3.0, 5.0, 2.0, 2.0, 5.3, 3.0, 3.0, 0.0, 4.0, 5.0, 1.0, 1.0, 8.0, 2.0, 4.0, 2.0, 2.0, 1.0, 4.0, 6.0, 8.0, 1.0, 4.0, 1.0, 1.0, 4.0, 0.0, 2.0, 1.0, 6.0, 4.0, 6.0, 1.0, 6.0, 5.0, 6.0, 1.0, 6.0, 2.0, 4.0, 4.0, 5.0, 3.0]",sim
announcement-warning,announcement,warning,"[6.0, 7.0, 7.0, 9.0, 9.0, 4.0, 3.0, 1.0, 4.0, 5.0, 7.0, 8.5, 6.0, 4.0, 7.0, 6.0, 7.0, 6.0, 7.0, 8.0, 8.0, 8.0, 7.0, 5.0, 9.0, 3.0, 9.5, 3.0, 8.0, 8.0, 5.0, 4.0, 3.0, 4.9, 5.0, 6.0, 7.0, 8.0, 3.0, 4.0, 5.0, 0.0, 9.0, 8.0, 5.0, 7.0, 7.5, 6.0, 7.0, 6.0]",sim
announcement-production,announcement,production,"[4.0, 2.0, 8.0, 6.0, 1.0, 0.0, 1.0, 0.0, 5.0, 0.0, 6.0, 0.0, 1.5, 3.0, 0.0, 3.0, 5.0, 2.0, 0.0, 5.0, 3.0, 6.0, 0.0, 4.0, 1.0, 6.0, 5.0, 9.0, 5.0, 4.0, 4.0, 1.0, 3.0, 0.0, 4.0, 0.0, 4.0, 2.0, 1.0, 1.0, 6.0, 2.0, 1.0, 2.0, 4.0, 1.0, 4.0, 0.0, 5.0, 2.0]",sim
announcement-news,announcement,news,"[7.0, 9.0, 3.5, 6.0, 10.0, 7.0, 8.0, 7.7, 9.0, 9.0, 7.0, 9.9, 8.0, 9.0, 6.0, 9.0, 6.0, 8.0, 5.0, 5.0, 8.0, 7.0, 9.0, 8.0, 10.0, 7.0, 9.5, 3.0, 9.0, 7.0, 4.0, 6.0, 9.0, 10.0, 9.0, 6.0, 7.0, 6.0, 9.0, 2.0, 4.0, 7.0, 7.0, 7.0, 6.0, 1.0, 9.5, 5.5, 10.0, 7.0]",sim
aluminum-metal,aluminum,metal,"[9.0, 10.0, 6.0, 2.0, 8.8, 8.0, 6.0, 10.0, 8.0, 10.0, 9.0, 8.6, 7.5, 9.0, 5.0, 9.0, 7.0, 8.0, 8.0, 5.0, 5.0, 7.0, 7.0, 10.0, 8.0, 10.0, 9.0, 2.0, 8.0, 10.0, 7.0, 6.0, 10.0, 0.0, 5.0, 5.0, 8.0, 8.0, 9.5, 8.0, 5.0, 6.5, 10.0, 9.0, 8.0, 8.0, 9.5, 6.8, 9.5, 7.0]",sim
Mars-scientist,Mars,scientist,"[2.0, 6.0, 10.0, 4.0, 7.0, 2.0, 5.0, 7.0, 5.0, 8.0, 1.0, 9.8, 5.0, 5.0, 5.0, 8.0, 6.0, 2.0, 2.0, 5.0, 5.0, 7.0, 6.0, 4.0, 1.0, 6.0, 5.0, 8.0, 4.0, 4.0, 5.0, 2.0, 7.0, 0.0, 0.0, 5.0, 6.0, 3.0, 6.5, 4.0, 5.0, 8.0, 8.0, 3.0, 4.0, 2.0, 3.0, 1.0, 6.0, 5.0]",sim
FBI-investigation,FBI,investigation,"[7.0, 10.0, 10.0, 9.0, 7.0, 8.0, 9.0, 9.0, 7.0, 8.0, 8.0, 5.0, 7.0, 10.0, 8.0, 8.0, 9.5, 7.0, 7.0, 9.0, 8.0, 8.0, 8.0, 8.0, 5.0, 9.0, 10.0, 1.0, 8.0, 9.0, 6.9, 7.0, 8.0, 7.2, 6.0, 8.0, 9.0, 9.0, 6.0, 10.0, 9.0, 7.0, 10.0, 9.0, 6.0, 1.0, 6.0, 7.0, 8.5, 7.0]",sim
Arafat-Jackson,Arafat,Jackson,"[4.0, 9.0, 4.5, 2.0, 2.8, 0.0, 2.0, 8.0, 4.0, 0.0, 5.0, 0.0, 4.0, 1.0, 0.0, 2.0, 3.0, 6.0, 4.0, 4.0, 2.0, 2.0, 6.0, 2.0, 2.0, 1.0, 5.0, 10.0, 3.0, 3.0, 0.0, 7.0, 1.0, 0.0, 7.0, 0.0, 2.0, 6.0, 1.0, 0.0, 5.0, 5.0, 1.0, 2.0, 4.0, 1.0, 3.0, 5.0, 7.0, 3.0]",sim
war-troops,war,troops,"[8.0, 6.0, 8.0, 8.5, 9.0, 6.0, 10.0, 8.0, 8.0, 10.0, 6.0, 9.0, 10.0, 9.0, 6.0, 8.5, 9.0, 9.0, 5.0, 9.0, 9.0, 8.0, 9.0, 10.0, 8.0, 10.0, 8.0, 7.0, 7.0, 9.0, 9.5, 9.0, 5.0, 9.0, 9.0, 9.0, 9.0, 4.0, 9.0, 8.0, 9.0, 9.0, 10.0, 9.0, 7.0, 8.0, 8.0, 10.0, 6.0, 10.0]",sim
